goal	rule	score
p6(a98, X0)	p6(X1, X8) :- p7(X1), p4(X8, X1), p2(X1, X1)	0
p5(a57, X72)	p5(a57, a30)	0
p8(a34, X113, X813, X213)	p8(a34, a17, X813, a22)	0
p6(a33, a1)	p6(X1, X8) :- p7(X1), p4(X8, X1), p2(X1, X1)	0
p1(X45, X912)	p1(a62, a70)	0
p4(a79, X21)	p4(a79, a55)	0
p5(a57, X70)	p5(a57, a56)	0
p9(X79)	p9(a99)	0
p8(X35, X25, X15, a39)	p8(X35, a51, a11, a39)	0
p1(X5, X93)	p1(a62, a50)	0
p1(X2, X93)	p1(a62, a23)	0
p3(X26, a11, X16, X16, X86)	p3(a19, a11, a1, a1, X86)	0
p5(a10, X1)	p5(X2, a26) :- p7(X2), p0(X2)	0
p4(a79, X211)	p4(a79, a54)	0
p1(X9, X92)	p1(a62, a51)	0
p1(a62, X910)	p1(a62, a68)	0
p0(a69)	p0(X3) :- p4(X3, X9), p1(X3, X9)	0
p1(X42, X95)	p1(a62, a33)	0
p4(a79, a3)	p4(a79, a3)	0
p1(X310, X910)	p1(a59, a17)	0
p8(a34, X0, X1, a87)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	0
p4(X84, X14)	p4(a1, a96)	0
p4(X34, X94)	p4(a55, a43)	0
p4(X1, X1)	p4(X1, X1) :- p7(X1)	0
p4(X812, X112)	p4(a1, a0)	0
p4(X32, X92)	p4(a78, a1)	0
p4(X0, a68)	p4(a85, X7) :- p5(a57, X7), p9(X7)	0
p6(a36, X0)	p6(X1, X8) :- p7(X1), p4(X8, X1), p2(X1, X1)	0
p3(X25, a11, X15, X15, X85)	p3(a2, a11, a14, a14, X85)	0
p3(X29, a11, X19, X19, X89)	p3(a22, a11, a17, a17, X89)	0
p4(a14, X0)	p4(X1, X1) :- p7(X1)	0
p8(a34, X113, X813, X213)	p8(a34, a84, X813, a35)	0
p4(a0, X96)	p4(a0, a51)	0
p9(X711)	p9(a87)	0
p4(X88, X18)	p4(a1, a24)	0
p0(a10)	p0(X3) :- p4(X3, X9), p1(X3, X9)	0
p9(X713)	p9(a29)	0
p1(X313, X913)	p1(a88, a15)	0
p4(X0, a87)	p4(X1, X1) :- p7(X1)	0
p3(X28, a11, X18, X18, X88)	p3(a51, a11, a11, a11, X88)	0
p8(X33, X23, X13, a39)	p8(X33, a43, a83, a39)	0
p8(a34, X111, X811, X211)	p8(a34, a39, X811, a2)	0
p1(X96, X910)	p1(a62, a93)	0
p1(X96, X910)	p1(a62, a94)	0
p5(X910, X910)	p5(a50, a50)	0
p1(X0, X90)	p1(a62, a51)	0
p1(X29, X912)	p1(a62, a19)	0
p1(X35, X95)	p1(a37, a99)	0
p4(X81, X11)	p4(a1, a82)	0
p1(X97, X912)	p1(a62, a45)	0
p4(X30, X90)	p4(a80, a10)	0
p4(X0, a45)	p4(X1, X1) :- p7(X1)	0
p1(X02, X42)	p1(a24, a19)	0
p4(X311, X911)	p4(a6, a5)	0
p1(X20, X92)	p1(a62, a90)	0
p4(X39, X99)	p4(a51, a10)	0
p5(X97, X97)	p5(a62, a62)	0
p5(X99, X99)	p5(a14, a14)	0
p1(X2, X93)	p1(a62, a86)	0
p1(X56, X99)	p1(a62, a90)	0
p8(a34, X15, X85, X25)	p8(a34, a11, X85, a15)	0
p1(X04, X44)	p1(a48, a19)	0
p1(a62, X99)	p1(a62, a27)	0
p4(X38, X98)	p4(a33, a15)	0
p3(X212, a11, X112, X112, X812)	p3(a90, a11, a27, a27, X812)	0
p5(a57, X70)	p5(a57, a1)	0
p0(a42)	p0(X2) :- p5(a10, X2)	0
p8(X313, X213, X113, a39)	p8(X313, a15, a44, a39)	0
p8(a34, X112, X812, X212)	p8(a34, a14, X812, a33)	0
p1(X33, X93)	p1(a59, a17)	0
p5(X95, X95)	p5(a21, a21)	0
p8(a34, X15, X85, X25)	p8(a34, a15, X85, a12)	0
p1(X013, X413)	p1(a77, a19)	0
p8(a34, X112, X812, X212)	p8(a34, a21, X812, a11)	0
p4(a79, X24)	p4(a79, a40)	0
p0(a18)	p0(X4) :- p5(a18, X4)	0
p1(X45, X912)	p1(a62, a80)	0
p4(X1, X1)	p4(a62, X2) :- p6(X2, X3)	0
p5(a57, X75)	p5(a57, a52)	0
p4(X811, X111)	p4(a1, a90)	0
p0(a85)	p0(X4) :- p5(a18, X4)	0
p1(X39, X99)	p1(a10, a0)	0
p0(a15)	p0(X2) :- p5(a10, X2)	0
p1(X99, X912)	p1(a62, a80)	0
p3(X212, a11, X112, X112, X812)	p3(a55, a11, a14, a14, X812)	0
p1(X97, X910)	p1(a62, a22)	0
p4(X0, a87)	p4(a62, X2) :- p6(X2, X3)	0
p4(X85, X15)	p4(a1, a56)	0
p1(X56, X99)	p1(a62, a13)	0
p3(X25, a11, X15, X15, X85)	p3(a38, a11, a43, a43, X85)	0
p8(a34, X15, X85, X25)	p8(a34, a13, X85, a10)	0
p5(a57, X76)	p5(a57, a7)	0
p8(a34, X113, X813, X213)	p8(a34, a36, X813, a11)	0
p3(X28, a11, X18, X18, X88)	p3(a14, a11, a43, a43, X88)	0
p1(X97, X910)	p1(a62, a38)	0
p4(X0, a45)	p4(a62, X2) :- p6(X2, X3)	0
p4(X86, X16)	p4(a1, a98)	0
p1(X0, X92)	p1(a62, a99)	0
p4(X811, X111)	p4(a1, a87)	0
p5(a57, X713)	p5(a57, a24)	0
p4(a79, X22)	p4(a79, a25)	0
p9(X90)	p9(a54)	0
p1(X012, X412)	p1(a70, a19)	0
p3(X211, a11, X111, X111, X811)	p3(a99, a11, a47, a47, X811)	0
p5(X911, X911)	p5(a2, a2)	0
p1(X20, X92)	p1(a62, a51)	0
p4(X310, X910)	p4(a56, a14)	0
p1(X9, X94)	p1(a62, a10)	0
p1(X56, X99)	p1(a62, a51)	0
p1(X08, X48)	p1(a99, a19)	0
p1(X07, X47)	p1(a1, a19)	0
p4(X813, X113)	p4(a1, a3)	0
p5(X94, X94)	p5(a75, a75)	0
p4(X81, X11)	p4(a1, a72)	0
p0(a98)	p0(X6) :- p3(a64, X2, X4, X6, X6)	0
p4(X38, X98)	p4(a55, a33)	0
p4(a0, X99)	p4(a0, a30)	0
p7(a83)	p7(X5) :- p0(X5), p7(X5)	0
p5(a57, X73)	p5(a57, a85)	0
p0(a1)	p0(X4) :- p5(a18, X4)	0
p1(a62, X910)	p1(a62, a20)	0
p4(a42, X0)	p4(X1, X1) :- p7(X1)	0
p5(a57, X79)	p5(a57, a1)	0
p8(X39, X29, X19, a39)	p8(X39, a2, a39, a39)	0
p1(a62, X910)	p1(a62, a50)	0
p3(X29, a11, X19, X19, X89)	p3(a2, a11, a39, a39, X89)	0
p7(a2)	p7(X5) :- p0(X5), p7(X5)	0
p5(a57, X74)	p5(a57, a22)	0
p0(a19)	p0(X4) :- p5(a18, X4)	0
p1(X30, X90)	p1(a29, a33)	0
p0(a27)	p0(X2) :- p5(a10, X2)	0
p8(a34, X0, X1, a20)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	0
p1(X013, X413)	p1(a86, a19)	0
p1(X44, X97)	p1(a62, a33)	0
p1(X0, X90)	p1(a62, a35)	0
p1(X5, X93)	p1(a62, a23)	0
p1(X010, X410)	p1(a94, a19)	0
p1(X35, X95)	p1(a2, a28)	0
p3(X212, a11, X112, X112, X812)	p3(a12, a11, a68, a68, X812)	0
p5(a57, X71)	p5(a57, a46)	0
p5(a57, X711)	p5(a57, a38)	0
p4(X85, X15)	p4(a1, a59)	0
p0(a38)	p0(X2) :- p5(a10, X2)	0
p1(X210, X912)	p1(a62, a23)	0
p5(X97, X97)	p5(a21, a21)	0
p5(a57, X73)	p5(a57, a77)	0
p1(X47, X912)	p1(a62, a14)	0
p1(X310, X910)	p1(a30, a13)	0
p8(X311, X211, X111, a39)	p8(X311, a11, a33, a39)	0
p4(a0, X93)	p4(a0, a8)	0
p4(X83, X13)	p4(a1, a10)	0
p4(a82, X0)	p4(X1, X1) :- p7(X1)	0
p4(X30, X90)	p4(a63, a86)	0
p1(X0, X94)	p1(a62, a19)	0
p8(X32, X22, X12, a39)	p8(X32, a19, a1, a39)	0
p8(X39, X29, X19, a39)	p8(X39, a93, a26, a39)	0
p8(X312, X212, X112, a39)	p8(X312, a55, a14, a39)	0
p1(X013, X413)	p1(a48, a19)	0
p6(a43, X0)	p6(X1, X8) :- p7(X1), p4(X8, X1), p2(X1, X1)	0
p8(a34, X0, X1, a50)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	0
p1(X44, X97)	p1(a62, a68)	0
p8(a34, X110, X810, X210)	p8(a34, a27, X810, a90)	0
p4(X89, X19)	p4(a1, a53)	0
p8(X311, X211, X111, a39)	p8(X311, a65, a45, a39)	0
p0(a92)	p0(X6) :- p3(a64, X2, X4, X6, X6)	0
p4(a34, X0)	p4(X1, X1) :- p7(X1)	0
p1(X56, X911)	p1(a62, a99)	0
p4(X0, a87)	p4(a85, X7) :- p5(a57, X7), p9(X7)	0
p4(X81, X11)	p4(a1, a22)	0
p9(X72)	p9(a3)	0
p1(X21, X93)	p1(a62, a70)	0
p1(X3, X92)	p1(a62, a39)	0
p4(X0, a53)	p4(a85, X7) :- p5(a57, X7), p9(X7)	0
p1(X313, X913)	p1(a26, a64)	0
p8(a34, X110, X810, X210)	p8(a34, a2, X810, a86)	0
p8(a34, X113, X813, X213)	p8(a34, a68, X813, a12)	0
p1(X49, X912)	p1(a62, a23)	0
p1(X45, X911)	p1(a62, a1)	0
p1(X313, X913)	p1(a14, a4)	0
p2(a6, a6)	p2(X0, X0) :- p1(X0, X4), p6(X4, a1)	0
p8(a34, X17, X87, X27)	p8(a34, a68, X87, a12)	0
p4(X311, X911)	p4(a33, a30)	0
p4(X311, X911)	p4(a40, a22)	0
p4(X34, X94)	p4(a94, a14)	0
p4(X0, a45)	p4(a85, X7) :- p5(a57, X7), p9(X7)	0
p5(X911, X911)	p5(a29, a29)	0
p4(X35, X95)	p4(a0, a98)	0
p1(X03, X43)	p1(a34, a19)	0
p1(X47, X911)	p1(a62, a93)	0
p1(X48, X911)	p1(a62, a45)	0
p1(X96, X910)	p1(a62, a55)	0
p0(a94)	p0(X3) :- p4(X3, X9), p1(X3, X9)	0
p3(X211, a11, X111, X111, X811)	p3(a45, a11, a16, a16, X811)	0
p1(a34, X0)	p1(X2, X2) :- p6(X2, X1), p3(X2, a11, X1, X1, X8), p8(a34, X1, X8, X2), p8(X3, X2, X1, a39)	0
p1(X47, X912)	p1(a62, a22)	0
p8(X34, X24, X14, a39)	p8(X34, a33, a14, a39)	0
p9(X8)	p9(a13) :- p6(X5, X5), p5(X4, a40), p3(X2, X5, X4, a27, X4)	0
p5(a57, X713)	p5(a57, a89)	0
p1(X29, X912)	p1(a62, a99)	0
p5(X910, X910)	p5(a49, a49)	0
p4(X0, a15)	p4(a62, X2) :- p6(X2, X3)	0
p1(X6, X93)	p1(a62, a70)	0
p5(X99, X99)	p5(a30, a30)	0
p4(a1, X48)	p4(a1, a12)	0
p4(a79, X21)	p4(a79, a13)	0
p5(a57, X710)	p5(a57, a30)	0
p4(a79, X210)	p4(a79, a32)	0
p5(a10, X2)	p5(X2, a26) :- p7(X2), p0(X2)	0
p5(a57, X79)	p5(a57, a39)	0
p5(a57, X74)	p5(a57, a48)	0
p1(X47, X912)	p1(a62, a38)	0
p4(a79, X211)	p4(a79, a24)	0
p8(a34, X13, X83, X23)	p8(a34, a60, X83, a0)	0
p4(X37, X97)	p4(a16, a64)	0
p3(X211, a11, X111, X111, X811)	p3(a11, a11, a36, a36, X811)	0
p1(X48, X912)	p1(a62, a35)	0
p1(X47, X911)	p1(a62, a23)	0
p5(a57, X72)	p5(a57, a18)	0
p1(X37, X911)	p1(a62, a13)	0
p4(a0, X96)	p4(a0, a34)	0
p1(X03, X43)	p1(a83, a19)	0
p2(X1, X1)	p2(X6, a49) :- p7(X6)	0
p4(X85, X15)	p4(a1, a43)	0
p1(X9, X92)	p1(a62, a70)	0
p4(X313, X913)	p4(a78, a1)	0
p1(X30, X94)	p1(a62, a19)	0
p1(X97, X910)	p1(a62, a39)	0
p8(X313, X213, X113, a39)	p8(X313, a23, a4, a39)	0
p1(a34, a34)	p1(X2, X2) :- p6(X2, X1), p3(X2, a11, X1, X1, X8), p8(a34, X1, X8, X2), p8(X3, X2, X1, a39)	0
p1(X42, X95)	p1(a62, a2)	0
p5(a57, X75)	p5(a57, a61)	0
p0(a15)	p0(X4) :- p5(a18, X4)	0
p8(X310, X210, X110, a39)	p8(X310, a65, a45, a39)	0
p4(X311, X911)	p4(a39, a23)	0
p4(a79, X22)	p4(a79, a21)	0
p1(a62, X911)	p1(a62, a50)	0
p1(X32, X92)	p1(a37, a99)	0
p4(a79, X212)	p4(a79, a0)	0
p1(X03, X43)	p1(a36, a19)	0
p1(X011, X411)	p1(a48, a19)	0
p8(a34, X0, X1, a8)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	0
p4(X88, X18)	p4(a1, a99)	0
p5(a57, X72)	p5(a57, a68)	0
p8(a34, X110, X810, X210)	p8(a34, a12, X810, a27)	0
p1(X97, X912)	p1(a62, a10)	0
p9(X99)	p9(a12)	0
p7(a93)	p7(X5) :- p0(X5), p7(X5)	0
p4(a0, X911)	p4(a0, a2)	0
p8(a34, X15, X85, X25)	p8(a34, a83, X85, a43)	0
p6(a41, X0)	p6(X9, X9) :- p5(X9, X9), p4(a79, X2), p5(X2, X9)	0
p1(X33, X93)	p1(a44, a38)	0
p1(a61, a61)	p1(X2, X2) :- p6(X2, X1), p3(X2, a11, X1, X1, X8), p8(a34, X1, X8, X2), p8(X3, X2, X1, a39)	0
p1(X5, X93)	p1(a62, a43)	0
p5(X911, X911)	p5(a50, a50)	0
p1(X27, X910)	p1(a62, a60)	0
p4(a79, X25)	p4(a79, a75)	0
p1(X30, X90)	p1(a63, a73)	0
p1(X0, X90)	p1(a62, a70)	0
p3(X212, a11, X112, X112, X812)	p3(a1, a11, a13, a13, X812)	0
p8(a34, X0, X1, a16)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	0
p4(a0, X96)	p4(a0, a56)	0
p1(X6, X93)	p1(a62, a33)	0
p3(X25, a11, X15, X15, X85)	p3(a55, a11, a73, a73, X85)	0
p6(a96, X0)	p6(X1, X8) :- p7(X1), p4(X8, X1), p2(X1, X1)	0
p9(X710)	p9(a3)	0
p8(a34, X0, X1, a57)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	0
p9(X75)	p9(a12)	0
p5(a57, X74)	p5(a57, a41)	0
p8(X39, X29, X19, a39)	p8(X39, a11, a21, a39)	0
p4(X36, X96)	p4(a0, a58)	0
p5(X912, X912)	p5(a47, a47)	0
p4(X312, X912)	p4(a16, a2)	0
p1(X47, X910)	p1(a62, a90)	0
p1(a62, X94)	p1(a62, a1)	0
p1(X33, X93)	p1(a17, a99)	0
p8(X312, X212, X112, a39)	p8(X312, a77, a12, a39)	0
p1(X27, X910)	p1(a62, a45)	0
p8(X312, X212, X112, a39)	p8(X312, a93, a26, a39)	0
p1(X03, X43)	p1(a29, a19)	0
p6(a55, X0)	p6(X1, X8) :- p7(X1), p4(X8, X1), p2(X1, X1)	0
p1(X21, X93)	p1(a62, a13)	0
p1(X45, X99)	p1(a62, a35)	0
p1(X9, X92)	p1(a62, a33)	0
p1(X32, X92)	p1(a34, a82)	0
p1(X35, X95)	p1(a1, a14)	0
p4(X83, X13)	p4(a1, a61)	0
p4(X88, X18)	p4(a1, a29)	0
p1(X310, X910)	p1(a75, a12)	0
p4(X34, X94)	p4(a42, a14)	0
p5(a57, X5)	p5(X2, a26) :- p7(X2), p0(X2)	0
p0(a35)	p0(X3) :- p4(X3, X9), p1(X3, X9)	0
p3(X23, a11, X13, X13, X83)	p3(a38, a11, a43, a43, X83)	0
p1(X56, X911)	p1(a62, a45)	0
p4(a1, X45)	p4(a1, a53)	0
p8(X1, X0, a95, a72)	p8(a0, X4, X1, X4) :- p3(X9, a29, a16, X4, X0), p3(a1, X3, X1, X0, X0)	0
p5(a57, X78)	p5(a57, a56)	0
p8(a34, X17, X87, X27)	p8(a34, a15, X87, a12)	0
p1(X29, X911)	p1(a62, a45)	0
p1(X32, X92)	p1(a71, a19)	0
p1(a62, X912)	p1(a62, a90)	0
p1(X49, X912)	p1(a62, a43)	0
p8(X35, X25, X15, a39)	p8(X35, a11, a33, a39)	0
p1(X010, X410)	p1(a49, a19)	0
p3(X28, a11, X18, X18, X88)	p3(a12, a11, a15, a15, X88)	0
p4(a1, X40)	p4(a1, a34)	0
p4(X32, X92)	p4(a80, a10)	0
p1(X013, X413)	p1(a18, a19)	0
p4(X39, X99)	p4(a24, a10)	0
p4(a1, X42)	p4(a1, a12)	0
p4(a79, X24)	p4(a79, a0)	0
p8(a34, X113, X813, X213)	p8(a34, a41, X813, a39)	0
p8(a34, X0, X1, a6)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	0
p1(X210, X912)	p1(a62, a55)	0
p4(a79, X212)	p4(a79, a32)	0
p0(a52)	p0(X2) :- p5(a10, X2)	0
p4(X32, X92)	p4(a29, a10)	0
p4(a81, X0)	p4(X1, X1) :- p7(X1)	0
p1(X21, X93)	p1(a62, a49)	0
p4(X88, X18)	p4(a1, a96)	0
p4(X0, a15)	p4(a85, X7) :- p5(a57, X7), p9(X7)	0
p9(X78)	p9(a74)	0
p4(X89, X19)	p4(a1, a48)	0
p1(X012, X412)	p1(a58, a19)	0
p4(X86, X16)	p4(a1, a24)	0
p9(X74)	p9(a12)	0
p1(X08, X48)	p1(a72, a19)	0
p3(X26, a11, X16, X16, X86)	p3(a14, a11, a43, a43, X86)	0
p4(X312, X912)	p4(a31, a69)	0
p7(a0)	p7(X5) :- p0(X5), p7(X5)	0
p8(X313, X213, X113, a39)	p8(X313, a35, a84, a39)	0
p1(X5, X94)	p1(a62, a27)	0
p1(X0, X90)	p1(a62, a80)	0
p4(X35, X95)	p4(a45, a14)	0
p1(X05, X45)	p1(a48, a19)	0
p1(X20, X92)	p1(a62, a70)	0
p1(X47, X910)	p1(a62, a51)	0
p1(X29, X912)	p1(a62, a12)	0
p3(X24, a11, X14, X14, X84)	p3(a55, a11, a14, a14, X84)	0
p4(X83, X13)	p4(a1, a99)	0
p5(a57, X72)	p5(a57, a40)	0
p1(X9, X94)	p1(a62, a19)	0
p1(X56, X99)	p1(a62, a70)	0
p1(a8, a8)	p1(X2, X2) :- p6(X2, X1), p3(X2, a11, X1, X1, X8), p8(a34, X1, X8, X2), p8(X3, X2, X1, a39)	0
p9(X97)	p9(a54)	0
p5(a57, X711)	p5(a57, a41)	0
p5(X911, X911)	p5(a67, a67)	0
p4(a79, X26)	p4(a79, a10)	0
p1(X012, X412)	p1(a82, a19)	0
p4(X0, a38)	p4(a62, X2) :- p6(X2, X3)	0
p5(X91, X91)	p5(a66, a66)	0
p3(X24, a11, X14, X14, X84)	p3(a0, a11, a93, a93, X84)	0
p1(X0, X92)	p1(a62, a60)	0
p1(X45, X98)	p1(a62, a86)	0
p8(X312, X212, X112, a39)	p8(X312, a12, a68, a39)	0
p1(a36, X0)	p1(X2, X2) :- p6(X2, X1), p3(X2, a11, X1, X1, X8), p8(a34, X1, X8, X2), p8(X3, X2, X1, a39)	0
p9(X712)	p9(a59)	0
p8(X1, X0, X2, a39)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	0
p1(X6, X93)	p1(a62, a55)	0
p1(a2, X0)	p1(X2, X2) :- p6(X2, X1), p3(X2, a11, X1, X1, X8), p8(a34, X1, X8, X2), p8(X3, X2, X1, a39)	0
p1(X98, X912)	p1(a62, a14)	0
p8(a34, X13, X83, X23)	p8(a34, a16, X83, a45)	0
p1(X47, X912)	p1(a62, a39)	0
p0(a60)	p0(X2) :- p5(a10, X2)	0
p4(X310, X910)	p4(a0, a66)	0
p1(X2, X93)	p1(a62, a15)	0
p5(X95, X95)	p5(a47, a47)	0
p2(a65, a65)	p2(X0, X0) :- p1(X0, X4), p6(X4, a1)	0
p4(X39, X99)	p4(a33, a30)	0
p1(a62, X912)	p1(a62, a51)	0
p3(X211, a11, X111, X111, X811)	p3(a10, a11, a10, a10, a75)	0
p4(X39, X99)	p4(a40, a22)	0
p4(a79, X24)	p4(a79, a32)	0
p1(X45, X912)	p1(a62, a50)	0
p1(X56, X911)	p1(a62, a27)	0
p3(X212, a11, X112, X112, X812)	p3(a93, a11, a26, a26, X812)	0
p1(X9, X92)	p1(a62, a55)	0
p3(X25, a11, X15, X15, X85)	p3(a27, a11, a12, a12, X85)	0
p1(X012, X412)	p1(a99, a19)	0
p1(X47, X911)	p1(a62, a55)	0
p1(X03, X43)	p1(a59, a19)	0
p5(X94, X94)	p5(a3, a3)	0
p4(X310, X910)	p4(a42, a53)	0
p1(X38, X98)	p1(a52, a0)	0
p6(X0, a1)	p6(X9, X9) :- p5(X9, X9), p4(a79, X2), p5(X2, X9)	0
p7(a96)	p7(X5) :- p0(X5), p7(X5)	0
p1(X39, X99)	p1(a59, a17)	0
p4(a12, X0)	p4(X1, X1) :- p7(X1)	0
p4(X310, X910)	p4(a46, a92)	0
p1(X37, X911)	p1(a62, a35)	0
p1(X47, X911)	p1(a62, a94)	0
p0(a20)	p0(X2) :- p5(a10, X2)	0
p1(X313, X913)	p1(a92, a53)	0
p8(X311, X211, X111, a39)	p8(X311, a13, a17, a39)	0
p4(a90, X0)	p4(X1, X1) :- p7(X1)	0
p1(X313, X913)	p1(a9, a49)	0
p1(X310, X910)	p1(a32, a0)	0
p3(X211, a11, X111, X111, X811)	p3(a26, a11, a21, a21, X811)	0
p8(X34, X24, X14, a39)	p8(X34, a13, a17, a39)	0
p1(X08, X48)	p1(a65, a19)	0
p1(X21, X94)	p1(a62, a99)	0
p4(X0, a57)	p4(X1, X1) :- p7(X1)	0
p4(X37, X97)	p4(a0, a72)	0
p8(a34, X113, X813, X213)	p8(a34, a3, X813, a80)	0
p3(X211, a11, X111, X111, X811)	p3(a11, a11, a33, a33, X811)	0
p5(a57, X713)	p5(a57, a46)	0
p1(X0, X94)	p1(a62, a49)	0
p4(X0, a99)	p4(X1, X1) :- p7(X1)	0
p4(a79, X25)	p4(a79, a16)	0
p8(X35, X25, X15, a39)	p8(X35, a50, a0, a39)	0
p1(X98, X912)	p1(a62, a22)	0
p4(X812, X112)	p4(a1, a65)	0
p4(X84, X14)	p4(a1, a87)	0
p1(X313, X913)	p1(a96, a27)	0
p1(X09, X49)	p1(a30, a19)	0
p8(a34, X14, X84, X24)	p8(a34, a17, X84, a22)	0
p4(X811, X111)	p4(a1, a53)	0
p1(X30, X90)	p1(a23, a86)	0
p4(X36, X96)	p4(a2, a36)	0
p1(X48, X912)	p1(a62, a80)	0
p8(a34, X13, X83, X23)	p8(a34, a84, X83, a35)	0
p4(a79, X23)	p4(a79, a0)	0
p1(X96, X910)	p1(a62, a15)	0
p9(X75)	p9(a27)	0
p1(X20, X92)	p1(a62, a80)	0
p5(X913, X913)	p5(a13, a13)	0
p5(a57, X711)	p5(a57, a50)	0
p3(X210, a11, X110, X110, X810)	p3(a15, a11, a44, a44, X810)	0
p1(X313, X913)	p1(a51, a18)	0
p3(X26, a11, X16, X16, X86)	p3(a60, a11, a64, a64, X86)	0
p8(a34, X19, X89, X29)	p8(a34, a13, X89, a1)	0
p8(a34, X19, X89, X29)	p8(a34, a11, X89, a19)	0
p4(a0, X910)	p4(a0, a2)	0
p8(X312, X212, X112, a39)	p8(X312, a60, a64, a39)	0
p4(X32, X92)	p4(a63, a86)	0
p1(X2, X93)	p1(a62, a38)	0
p5(X911, X911)	p5(a49, a49)	0
p4(X38, X98)	p4(a55, a85)	0
p5(a57, X71)	p5(a57, a30)	0
p4(a82, a82)	p4(X1, X1) :- p7(X1)	0
p8(X33, X23, X13, a39)	p8(X33, a22, a17, a39)	0
p4(X34, X94)	p4(a9, a12)	0
p9(X410)	p9(a27)	0
p4(a79, X213)	p4(a79, a36)	0
p1(X32, X92)	p1(a88, a15)	0
p3(X22, X52, X42, a27, X42)	p3(X22, a0, X42, a27, X42)	0
p1(X013, X413)	p1(a92, a19)	0
p1(X011, X411)	p1(a10, a19)	0
p5(X913, X913)	p5(a66, a66)	0
p4(X0, a19)	p4(a85, X7) :- p5(a57, X7), p9(X7)	0
p3(X213, a11, X113, X113, X813)	p3(a14, a11, a0, a0, X813)	0
p4(X34, X94)	p4(a48, a60)	0
p8(X311, X211, X111, a39)	p8(X311, a38, a43, a39)	0
p3(X212, a11, X112, X112, X812)	p3(a55, a11, a73, a73, X812)	0
p2(a27, a27)	p2(X0, X0) :- p1(X0, X4), p6(X4, a1)	0
p1(X37, X911)	p1(a62, a51)	0
p4(X310, X910)	p4(a9, a12)	0
p1(X03, X43)	p1(a16, a19)	0
p8(a34, X0, X1, a38)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	0
p1(a62, X911)	p1(a62, a22)	0
p1(X5, X94)	p1(a62, a10)	0
p1(X21, X93)	p1(a62, a2)	0
p1(X34, X94)	p1(a43, a0)	0
p4(a1, X40)	p4(a1, a82)	0
p5(X94, X94)	p5(a76, a76)	0
p4(a0, X93)	p4(a0, a61)	0
p4(a79, X29)	p4(a79, a11)	0
p1(X011, X411)	p1(a15, a19)	0
p4(X811, X111)	p4(a1, a43)	0
p4(X0, a12)	p4(X1, X1) :- p7(X1)	0
p4(X312, X912)	p4(a9, a12)	0
p0(a77)	p0(X4) :- p5(a18, X4)	0
p4(X89, X19)	p4(a1, a22)	0
p5(a10, X0)	p5(X2, a26) :- p7(X2), p0(X2)	0
p1(a62, X911)	p1(a62, a38)	0
p8(a34, X13, X83, X23)	p8(a34, a14, X83, a55)	0
p3(X29, a11, X19, X19, X89)	p3(a19, a11, a11, a11, X89)	0
p3(X26, a11, X16, X16, X86)	p3(a55, a11, a73, a73, X86)	0
p1(X42, X95)	p1(a62, a94)	0
p8(X35, X25, X15, a39)	p8(X35, a86, a2, a39)	0
p5(a57, X710)	p5(a57, a68)	0
p1(X0, X94)	p1(a62, a12)	0
p4(X312, X912)	p4(a48, a60)	0
p4(a79, X25)	p4(a79, a70)	0
p7(a78)	p7(X5) :- p0(X5), p7(X5)	0
p8(a34, X113, X813, X213)	p8(a34, a28, X813, a20)	0
p1(X44, X97)	p1(a62, a20)	0
p5(a57, X713)	p5(a57, a85)	0
p9(X711)	p9(a36)	0
p4(a0, X910)	p4(a0, a24)	0
p5(X99, X99)	p5(a75, a75)	0
p1(X37, X97)	p1(a30, a13)	0
p4(X86, X16)	p4(a1, a61)	0
p1(X010, X410)	p1(a17, a19)	0
p1(a62, X912)	p1(a62, a35)	0
p8(X35, X25, X15, a39)	p8(X35, a2, a18, a39)	0
p8(a34, X14, X84, X24)	p8(a34, a20, X84, a14)	0
p9(X711)	p9(a72)	0
p2(X4, X1)	p2(X0, X0) :- p1(X0, X4), p6(X4, a1)	0
p1(X09, X49)	p1(a83, a19)	0
p1(X08, X48)	p1(a78, a19)	0
p5(X90, X90)	p5(a92, a92)	0
p9(X77)	p9(a90)	0
p1(X56, X911)	p1(a62, a10)	0
p0(a84)	p0(X2) :- p5(a10, X2)	0
p6(a98, a1)	p6(X1, X8) :- p7(X1), p4(X8, X1), p2(X1, X1)	0
p1(X08, X48)	p1(a98, a19)	0
p7(a48)	p7(X5) :- p0(X5), p7(X5)	0
p4(a0, a22)	p4(a0, a22)	0
p3(X25, a11, X15, X15, X85)	p3(a94, a11, a80, a80, X85)	0
p1(X97, X912)	p1(a62, a77)	0
p5(a18, a26)	p5(X2, a26) :- p7(X2), p0(X2)	0
